id,kind,paper_label,status,evidence_lanes,source_member_count,all_source_members_present,generated_artifact_count,all_generated_artifacts_present,requires,blocking_requirements,status_terminal,public_terminal
O01,empirical_table,table:main-results,ARTIFACT_RECOMPUTED_WITH_DOCUMENTED_GAP,source;artifact,1,True,1,True,G_OFFICIAL_ARTIFACTS;G_EVALUATOR_REPLAY,G_OFFICIAL_ARTIFACTS,True,True
O02,empirical_table,tab.benchmark_humanevalfix,ARTIFACT_RECOMPUTED_WITH_DOCUMENTED_GAP,source;artifact,1,True,2,True,G_OFFICIAL_ARTIFACTS;G_HUMANEVAL_LANGUAGE,G_OFFICIAL_ARTIFACTS,True,True
O03,empirical_figure,fig:pass_at_k,SOURCE_AGGREGATE_REBUILT_RAW_INPUT_BLOCKED,source,2,True,2,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O04,empirical_table,tab:combined_ablations_summary,SOURCE_AGGREGATE_REBUILT_RAW_INPUT_BLOCKED,source,1,True,1,True,G_EXACT_ABLATION_CONFIGS;G_OFFICIAL_ARTIFACTS,G_EXACT_ABLATION_CONFIGS;G_OFFICIAL_ARTIFACTS,True,True
O05,empirical_figure,fig.search.comparison,SOURCE_AGGREGATE_REBUILT_RAW_INPUT_BLOCKED,source,2,True,1,True,G_EXACT_ABLATION_CONFIGS,G_EXACT_ABLATION_CONFIGS,True,True
O06,empirical_figure,fig.edit.comparison,SOURCE_AGGREGATE_REBUILT_RAW_INPUT_BLOCKED,source,2,True,1,True,G_EXACT_ABLATION_CONFIGS,G_EXACT_ABLATION_CONFIGS,True,True
O07,empirical_figure,fig:actions_per_turn,ARTIFACT_RECOMPUTED_EXACT,source;artifact,2,True,2,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O08,empirical_figure,fig:failure_modes_pie,SOURCE_AGGREGATE_REBUILT_RAW_INPUT_BLOCKED,source,2,True,2,True,G_MODEL_FAILURE_LABELER;G_OFFICIAL_ARTIFACTS,G_MODEL_FAILURE_LABELER;G_OFFICIAL_ARTIFACTS,True,True
O09,empirical_table,tab:appx:hyperparam_sweep,SOURCE_AGGREGATE_REBUILT_RAW_INPUT_BLOCKED,source,1,True,1,True,G_DEV37_MANIFEST;G_OFFICIAL_ARTIFACTS,G_DEV37_MANIFEST;G_OFFICIAL_ARTIFACTS,True,True
O10,empirical_table,table.results_by_repo,ARTIFACT_RECOMPUTED_EXACT,source;artifact,1,True,1,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O11,empirical_table,table.results_by_temporal,ARTIFACT_RECOMPUTED_EXACT,source;artifact,1,True,1,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O12,empirical_figure,fig.resolved_by_turn,ARTIFACT_RECOMPUTED_WITH_DOCUMENTED_GAP,source;artifact,2,True,2,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O13,empirical_figure,fig:appx:steps_vs_cost_resolved,ARTIFACT_RECOMPUTED_WITH_DOCUMENTED_GAP,source;artifact,2,True,2,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
