repository,instance_id,version,selection_policy,fail_to_pass_count,pass_to_pass_count,gold_patch_sha256,evidence,observed_resolution,all_reference_tests_passed,official_resolved_report_exact,exact_outcome_match,semantic_outcome_match,validated_outcome_match,validation_class,reference_success_count,reference_failure_count
astropy/astropy,astropy__astropy-14995,5.2,minimum_reference_tests_among_official_gpt4_resolved,1,179,370b3ff97b3a0627c29b74cf0b60bae46fe75edcd35a8d121c2dbe0f0421899a,fresh_gold_evaluator_replay,RESOLVED_FULL,True,True,True,False,True,full_reference_outcome,180,0
django/django,django__django-13447,4.0,minimum_reference_tests_among_official_gpt4_resolved,1,5,4405b13629dde0bd48cf8441f4f4c4a23cc702c0a120a018f05183706ee36037,fresh_gold_evaluator_replay,RESOLVED_FULL,True,True,True,False,True,full_reference_outcome,6,0
matplotlib/matplotlib,matplotlib__matplotlib-23964,3.6,minimum_reference_tests_among_official_gpt4_resolved,1,16,d05240c2e660bc12358a3b2cd366c8f0af2fdc6e70696e61584c9dbc9132cad9,fresh_gold_evaluator_replay,RESOLVED_FULL,True,True,True,False,True,full_reference_outcome,17,0
mwaskom/seaborn,mwaskom__seaborn-3010,0.12,minimum_reference_tests_among_official_gpt4_resolved,1,2,2d282a78db2b88dc42330fea5dc78b0551629b7d15c6d5b22f20c57a2ee3d1d7,fresh_gold_evaluator_replay,RESOLVED_FULL,True,True,True,False,True,full_reference_outcome,3,0
pallets/flask,pallets__flask-4992,2.3,minimum_reference_tests_no_official_gpt4_resolved_available,1,18,db912cc1331807c9b0715766eb45a5fac8c4036a99dd54c9ce998b675d0d8697,fresh_gold_evaluator_replay,RESOLVED_FULL,True,,True,False,True,full_reference_outcome,19,0
psf/requests,psf__requests-2317,2.4,minimum_reference_tests_among_official_gpt4_resolved,8,133,e6f1e63850e2a5eefcfe6b4bbc6ba39038372415633a328ba7afea001fcbd50e,fresh_gold_evaluator_replay,RESOLVED_NO,False,False,False,True,True,external_network_semantic,140,1
pydata/xarray,pydata__xarray-4248,0.12,minimum_reference_tests_no_official_gpt4_resolved_available,1,18,cb60278c84b3245408864d4fde2f83e88229e920e6345b0f64ed74092b8f02d2,fresh_gold_evaluator_replay,RESOLVED_FULL,True,,True,False,True,full_reference_outcome,19,0
pylint-dev/pylint,pylint-dev__pylint-5859,2.13,minimum_reference_tests_among_official_gpt4_resolved,1,10,e7ec647093f251ba84dc511728af0ac5e7afafb0206bc826c343922d7afccebb,fresh_gold_evaluator_replay,RESOLVED_FULL,True,True,True,False,True,full_reference_outcome,11,0
pytest-dev/pytest,pytest-dev__pytest-5227,4.4,minimum_reference_tests_among_official_gpt4_resolved,3,34,e8193ea0dee0989323f0f7756f492d73cdc2e584b61f9142b8695d9ed2737893,reused_EXP-ARTIFACT-006_gold,RESOLVED_FULL,True,,True,False,True,full_reference_outcome,37,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-13584,0.21,minimum_reference_tests_among_official_gpt4_resolved,6,3,acb1af9f4aff9be141c13e5b2e0143f5abc78e56f8e585e8b2407f1254b875ef,fresh_gold_evaluator_replay,RESOLVED_FULL,True,True,True,False,True,full_reference_outcome,9,0
sphinx-doc/sphinx,sphinx-doc__sphinx-8713,4.0,minimum_reference_tests_among_official_gpt4_resolved,1,45,790ea5dc9611d778d1147d4eeb2945d413961932546340f910c9c0b41846ee8d,fresh_gold_evaluator_replay,RESOLVED_FULL,True,True,True,False,True,full_reference_outcome,46,0
sympy/sympy,sympy__sympy-24152,1.12,minimum_reference_tests_among_official_gpt4_resolved,1,6,42b4c8e39f5e1798c46f6d7bac8f01a9d48a5e7a5e629832c89f1b1a0bace5be,fresh_gold_evaluator_replay,RESOLVED_FULL,True,True,True,False,True,full_reference_outcome,7,0
